Country,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Population,13300000,14500000,15800000,17100000,18100000,18900000,19400000,19700000,20200000,20800000,21600000,22600000,23700000,24700000,25700000,26400000,27100000,27700000,28400000,29200000,30100000,31200000,32300000,33400000,34400000,35400000,36300000,37200000
Albania,Population,3280000,3250000,3200000,3150000,3110000,3100000,3100000,3110000,3120000,3130000,3130000,3130000,3120000,3100000,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,2890000,2890000,2880000,2880000
Algeria,Population,26400000,27000000,27600000,28200000,28800000,29300000,29700000,30200000,30600000,31000000,31500000,31900000,32300000,32700000,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000,40600000,41400000,42200000
Andorra,Population,56700,58900,61000,62700,63900,64400,64300,64100,64400,65400,67300,70000,73200,76300,78900,81000,82700,83900,84500,84500,83700,82400,80800,79200,78000,77300,77000,77000
Angola,Population,12200000,12700000,13100000,13500000,13900000,14400000,14900000,15400000,15900000,16400000,16900000,17500000,18100000,18800000,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000,28800000,29800000,30800000
Antigua and Barbuda,Population,63400,64500,65800,67200,68700,70200,71700,73200,74700,76000,77200,78300,79300,80300,81500,82700,84000,85400,86700,88000,89300,90400,91500,92600,93600,94500,95400,96300
Argentina,Population,33100000,33500000,34000000,34400000,34800000,35200000,35700000,36100000,36500000,36900000,37300000,37700000,38100000,38500000,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,43100000,43500000,43900000,44400000
Armenia,Population,3510000,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2900000,2910000,2930000,2940000,2940000,2950000
Australia,Population,17200000,17400000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19400000,19600000,19900000,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000,24300000,24600000,24900000
Austria,Population,7770000,7830000,7890000,7950000,7990000,8020000,8030000,8040000,8050000,8070000,8100000,8130000,8180000,8220000,8250000,8290000,8310000,8340000,8370000,8410000,8450000,8500000,8560000,8620000,8680000,8750000,8820000,8890000
Azerbaijan,Population,7360000,7470000,7580000,7680000,7780000,7860000,7930000,7990000,8050000,8120000,8200000,8280000,8360000,8450000,8540000,8630000,8720000,8820000,8920000,9030000,9150000,9260000,9390000,9510000,9620000,9740000,9850000,9950000
Bahamas,Population,261000,266000,271000,276000,280000,284000,287000,291000,294000,298000,303000,308000,313000,319000,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000,378000,382000,386000
Bahrain,Population,510000,523000,536000,550000,564000,579000,595000,614000,637000,665000,698000,735000,779000,830000,889000,958000,1040000,1110000,1190000,1240000,1280000,1300000,1320000,1340000,1370000,1430000,1490000,1570000
Bangladesh,Population,106000000,108000000,110000000,113000000,115000000,118000000,120000000,123000000,125000000,128000000,130000000,132000000,135000000,137000000,139000000,141000000,143000000,144000000,146000000,148000000,149000000,151000000,153000000,155000000,156000000,158000000,160000000,161000000
Barbados,Population,262000,263000,264000,265000,266000,267000,268000,269000,270000,272000,272000,273000,274000,275000,276000,277000,279000,280000,281000,282000,283000,284000,284000,285000,285000,286000,286000,287000
Belarus,Population,10200000,10200000,10100000,10100000,10100000,10000000,10000000,9970000,9920000,9870000,9810000,9750000,9680000,9620000,9560000,9520000,9480000,9450000,9430000,9420000,9420000,9420000,9420000,9430000,9440000,9450000,9450000,9450000
Belgium,Population,10000000,10100000,10100000,10200000,10200000,10200000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10700000,10800000,10900000,10900000,11000000,11100000,11200000,11200000,11300000,11400000,11400000,11500000
