country,Year,Electricity Total,Electricity per Person,Electricity per 500k,% Electricity per 500k,country_code
Algeria,1985,12300000000.0,544.0,272000000.0,2.2113821138211383,DZA
Algeria,1986,13000000000.0,559.0,279500000.0,2.15,DZA
Algeria,1987,12700000000.0,532.0,266000000.0,2.094488188976378,DZA
Algeria,1988,14000000000.0,568.0,284000000.0,2.0285714285714285,DZA
Algeria,1989,15300000000.0,607.0,303500000.0,1.9836601307189543,DZA
Algeria,1990,16100000000.0,621.0,310500000.0,1.9285714285714286,DZA
Algeria,1991,17300000000.0,653.0,326500000.0,1.8872832369942196,DZA
Algeria,1992,18300000000.0,673.0,336500000.0,1.8387978142076502,DZA
Algeria,1993,19400000000.0,699.0,349500000.0,1.8015463917525774,DZA
Algeria,1994,19900000000.0,701.0,350500000.0,1.7613065326633166,DZA
Algeria,1995,19700000000.0,682.0,341000000.0,1.7309644670050761,DZA
Algeria,1996,20700000000.0,702.0,351000000.0,1.6956521739130435,DZA
Algeria,1997,21500000000.0,719.0,359500000.0,1.672093023255814,DZA
Algeria,1998,23300000000.0,767.0,383500000.0,1.645922746781116,DZA
Algeria,1999,24800000000.0,805.0,402500000.0,1.622983870967742,DZA
Algeria,2000,25400000000.0,815.0,407500000.0,1.6043307086614174,DZA
Algeria,2001,26600000000.0,843.0,421500000.0,1.5845864661654134,DZA
Algeria,2002,27600000000.0,864.0,432000000.0,1.565217391304348,DZA
Algeria,2003,29500000000.0,911.0,455500000.0,1.5440677966101695,DZA
Algeria,2004,31200000000.0,952.0,476000000.0,1.5256410256410255,DZA
Algeria,2005,33900000000.0,1020.0,510000000.0,1.5044247787610618,DZA
Algeria,2006,35200000000.0,1040.0,520000000.0,1.4772727272727273,DZA
Algeria,2007,37300000000.0,1090.0,545000000.0,1.4611260053619304,DZA
Algeria,2008,40200000000.0,1150.0,575000000.0,1.4303482587064678,DZA
Algeria,2009,43100000000.0,1220.0,610000000.0,1.4153132250580047,DZA
Algeria,2010,45700000000.0,1270.0,635000000.0,1.3894967177242887,DZA
Algeria,2011,53100000000.0,1440.0,720000000.0,1.3559322033898304,DZA
Algeria,2012,57400000000.0,1530.0,765000000.0,1.3327526132404182,DZA
Algeria,2013,59900000000.0,1560.0,780000000.0,1.3021702838063438,DZA
Algeria,2014,64200000000.0,1640.0,820000000.0,1.277258566978193,DZA
Algeria,2015,68800000000.0,1730.0,865000000.0,1.257267441860465,DZA
Algeria,2016,70200000000.0,1730.0,865000000.0,1.2321937321937322,DZA
Argentina,1985,45300000000.0,1490.0,745000000.0,1.6445916114790287,ARG
Argentina,1986,49100000000.0,1590.0,795000000.0,1.6191446028513239,ARG
Argentina,1987,52100000000.0,1660.0,830000000.0,1.5930902111324377,ARG
Argentina,1988,53100000000.0,1670.0,835000000.0,1.5725047080979284,ARG
Argentina,1989,50900000000.0,1580.0,790000000.0,1.5520628683693516,ARG
Argentina,1990,51100000000.0,1560.0,780000000.0,1.5264187866927592,ARG
Argentina,1991,53900000000.0,1620.0,810000000.0,1.50278293135436,ARG
Argentina,1992,56500000000.0,1680.0,840000000.0,1.4867256637168142,ARG
Argentina,1993,61600000000.0,1810.0,905000000.0,1.469155844155844,ARG
Argentina,1994,65500000000.0,1890.0,945000000.0,1.4427480916030535,ARG
Argentina,1995,68800000000.0,1970.0,985000000.0,1.431686046511628,ARG
Argentina,1996,72900000000.0,2060.0,1030000000.0,1.412894375857339,ARG
Argentina,1997,77600000000.0,2170.0,1085000000.0,1.3981958762886597,ARG
Argentina,1998,80300000000.0,2220.0,1110000000.0,1.3823163138231631,ARG
Argentina,1999,86200000000.0,2350.0,1175000000.0,1.363109048723898,ARG
Argentina,2000,94400000000.0,2550.0,1275000000.0,1.3506355932203389,ARG
Argentina,2001,95200000000.0,2540.0,1270000000.0,1.334033613445378,ARG
Argentina,2002,90300000000.0,2380.0,1190000000.0,1.317829457364341,ARG
Argentina,2003,97600000000.0,2550.0,1275000000.0,1.3063524590163935,ARG
Argentina,2004,105000000000.0,2720.0,1360000000.0,1.2952380952380953,ARG
Argentina,2005,111000000000.0,2830.0,1415000000.0,1.2747747747747749,ARG
Argentina,2006,113000000000.0,2850.0,1425000000.0,1.261061946902655,ARG
Argentina,2007,115000000000.0,2880.0,1440000000.0,1.2521739130434784,ARG
Argentina,2008,129000000000.0,3190.0,1595000000.0,1.2364341085271318,ARG
Argentina,2009,130000000000.0,3180.0,1590000000.0,1.2230769230769232,ARG
Argentina,2010,133000000000.0,3210.0,1605000000.0,1.2067669172932332,ARG
Argentina,2011,129000000000.0,3110.0,1555000000.0,1.2054263565891472,ARG
Argentina,2012,136000000000.0,3230.0,1615000000.0,1.1875,ARG
Argentina,2013,140000000000.0,3280.0,1640000000.0,1.1714285714285715,ARG
Argentina,2014,142000000000.0,3290.0,1645000000.0,1.158450704225352,ARG
Argentina,2015,145000000000.0,3350.0,1675000000.0,1.1551724137931034,ARG
Argentina,2016,147000000000.0,3350.0,1675000000.0,1.1394557823129252,ARG
Australia,1985,124000000000.0,7860.0,3930000000.0,3.1693548387096775,AUS
Australia,1986,130000000000.0,8100.0,4050000000.0,3.1153846153846154,AUS
Australia,1987,136000000000.0,8360.0,4180000000.0,3.073529411764706,AUS
Australia,1988,143000000000.0,8670.0,4335000000.0,3.0314685314685317,AUS
Australia,1989,151000000000.0,9020.0,4510000000.0,2.986754966887417,AUS
Australia,1990,156000000000.0,9130.0,4565000000.0,2.926282051282051,AUS
Australia,1991,158000000000.0,9150.0,4575000000.0,2.8955696202531644,AUS
