teams,Total Games,Win by Wickets,Win by Runs,match_wins,toss_Matchwins,toss_wins,super_over_wins
Mumbai Indians,187,50,57,109,56,98,2
Kings XI Punjab,176,42,38,82,35,81,2
Chennai Super Kings,164,48,52,100,57,89,0
Royal Challengers Bangalore,180,48,35,84,41,81,1
Kolkata Knight Riders,178,56,36,92,53,92,0
Delhi Daredevils,161,42,25,67,35,80,0
Rajasthan Royals,147,46,27,75,42,80,2
Sunrisers Hyderabad,108,27,30,58,23,46,1
Deccan Chargers,75,11,18,29,19,43,0
Pune Warriors,46,6,6,12,3,20,0
Gujarat Lions,30,12,1,13,10,15,0
Rising Pune Supergiant,16,5,5,10,5,6,0
Rising Pune Supergiants,14,3,2,5,3,7,0
Kochi Tuskers Kerala,14,4,2,6,4,8,0
Delhi Capitals,16,6,3,10,7,10,1
