teams,Total Games,Win by Wickets,Win by Runs,match_wins,toss_Matchwins,toss_wins,super_over_wins,% Toss_match_wins
Mumbai Indians,187,50,57,109,56,98,2,0.5714285714285714
Kings XI Punjab,176,42,38,82,35,81,2,0.43209876543209874
Chennai Super Kings,164,48,52,100,57,89,0,0.6404494382022472
Royal Challengers Bangalore,180,48,35,84,41,81,1,0.5061728395061729
Kolkata Knight Riders,178,56,36,92,53,92,0,0.5760869565217391
Delhi Daredevils,161,42,25,67,35,80,0,0.4375
Rajasthan Royals,147,46,27,75,42,80,2,0.525
Sunrisers Hyderabad,108,27,30,58,23,46,1,0.5
Deccan Chargers,75,11,18,29,19,43,0,0.4418604651162791
Pune Warriors,46,6,6,12,3,20,0,0.15
Gujarat Lions,30,12,1,13,10,15,0,0.6666666666666666
Rising Pune Supergiant,16,5,5,10,5,6,0,0.8333333333333334
Kochi Tuskers Kerala,14,4,2,6,4,8,0,0.5
Rising Pune Supergiants,14,3,2,5,3,7,0,0.42857142857142855
Delhi Capitals,16,6,3,10,7,10,1,0.7
