Pos,Name,TEAM,RATING,Highest rating,Team against,Date
1,Trent Boult,NZ,722,770,West Indies,22/06/2019
2,Jasprit Bumrah,IND,719,841,West Indies,01/11/2018
3,Mujeeb Ur Rahman,AFG,701,707,West Indies,11/11/2019
4,Chris Woakes,ENG,675,676,New Zealand,14/07/2019
5,Kagiso Rabada,SA,665,724,England,29/05/2017
6,Pat Cummins,AUS,659,729,Pakistan,12/06/2019
7,Josh Hazlewood,AUS,654,733,England,26/01/2018
8,Mohammad Amir,PAK,647,663,Sri Lanka,02/10/2019
9,Matt Henry,NZ,641,675,Australia,08/02/2016
10,Jofra Archer,ENG,637,642,Australia,13/09/2020
11,Mitchell Starc,AUS,637,783,New Zealand,29/03/2015
12,Rashid Khan,AFG,630,806,Pakistan,21/09/2018
13,Lachlan Ferguson,NZ,628,668,West Indies,22/06/2019
14,Mehedi Hasan,BAN,626,637,Zimbabwe,03/03/2020
15,Yuzvendra Chahal,IND,622,730,New Zealand,23/01/2019
16,Shaheen Afridi,PAK,621,623,Zimbabwe,01/11/2020
17,Lungi Ngidi,SA,619,621,Australia,04/03/2020
18,Akila Dananjaya,SL,612,651,England,23/10/2018
19,Mustafizur Rahman,BAN,610,695,West Indies,14/12/2018
20,Kuldeep Yadav,IND,608,765,New Zealand,26/01/2019
21,Mohammad Nabi,AFG,603,653,Zimbabwe,26/02/2017
22,Adam Zampa,AUS,601,601,England,16/09/2020
23,Bhuvneshwar Kumar,IND,597,657,West Indies,17/10/2014
24,Mark Wood,ENG,590,615,Sri Lanka,21/06/2019
25,Ravindra Jadeja,IND,588,738,Zimbabwe,01/08/2013
26,Mohammad Shami,IND,585,654,Bangladesh,19/03/2015
27,Sheldon Cottrell,WI,575,581,Sri Lanka,26/02/2020
28,Shakib Al Hasan,BAN,563,717,Zimbabwe,05/11/2009
29,Liam Plunkett,ENG,554,646,West Indies,29/09/2017
30,Shadab Khan,PAK,552,607,New Zealand,26/06/2019
31,Adil Rashid,ENG,548,687,Sri Lanka,20/10/2018
32,Mitchell Santner,NZ,547,663,England,25/02/2018
33,Dwaine Pretorius,SA,523,539,Australia,06/07/2019
34,Andile Phehlukwayo,SA,520,613,Pakistan,30/01/2019
35,Andy McBrine,IRE,516,570,Zimbabwe,01/07/2019
36,Ahmed Raza,UAE,516,516,Namibia,09/01/2020
37,Colin de Grandhomme,NZ,516,522,India,11/02/2020
38,Tim Southee,NZ,507,638,England,20/02/2015
39,Ish Sodhi,NZ,504,567,India,26/01/2019
40,Imad Wasim,PAK,502,570,England,19/05/2019
41,Nuwan Pradeep,SL,500,506,England,13/10/2018
42,Mashrafe Mortaza,BAN,498,653,Zimbabwe,23/01/2009
43,Boyd Rankin,IRE,497,592,England,16/09/2013
44,Usman Khan,PAK,496,504,Sri Lanka,02/10/2019
45,Jhye Richardson,AUS,495,548,Pakistan,24/03/2019
46,Alzarri Joseph,WI,492,492,Sri Lanka,01/03/2020
47,Mohammad Mohammad Saifuddin,BAN,490,490,Zimbabwe,06/03/2020
48,Tendai Chatara,ZIM,490,562,Ireland,07/03/2015
49,Hasan Ali,PAK,488,766,New Zealand,06/01/2018
50,Mark Watt,SCO,486,495,United States,14/12/2019
51,Tabraiz Shamsi,SA,484,486,Australia,04/03/2020
52,Moeen Ali,ENG,484,629,Australia,24/06/2018
53,David Willey,ENG,482,551,Sri Lanka,02/07/2016
54,Safyaan Sharif,SCO,481,542,England,10/06/2018
55,Nathan Coulter-Nile,AUS,477,514,Bangladesh,20/06/2019
56,Jason Holder,WI,475,611,Zimbabwe,19/03/2018
57,Chris Morris,SA,469,507,Sri Lanka,03/06/2017
58,Nathan Lyon,AUS,469,510,South Africa,06/07/2019
59,Suranga Lakmal,SL,462,594,Bangladesh,25/01/2018
60,Wahab Riaz,PAK,461,522,England,13/11/2015
61,Rohan Mustafa,UAE,458,458,Namibia,09/01/2020
62,Kyle Jarvis,ZIM,458,473,Ireland,07/07/2019
63,Junaid Khan,PAK,456,655,Sri Lanka,27/12/2013
64,Hardik Pandya,IND,447,552,South Africa,16/02/2018
65,Kemar Roach,WI,444,650,Pakistan,19/07/2013
66,Sikandar Raza,ZIM,443,494,UAE,16/04/2019
67,Faheem Ashraf,PAK,436,468,England,14/05/2019
68,Dawlat Zadran,AFG,433,574,Zimbabwe,02/01/2016
69,Josh Davey,SCO,431,436,UAE,15/12/2019
70,Kane Richardson,AUS,428,448,India,17/01/2020
71,Aftab Alam,AFG,428,456,South Africa,15/06/2019
72,Sean Williams,ZIM,426,474,Sri Lanka,30/06/2017
73,Barry McCarthy,IRE,425,448,West Indies,09/01/2020
74,Yasir Shah,PAK,425,487,Zimbabwe,20/07/2018
75,Ben Stokes,ENG,423,474,New Zealand,03/07/2019
76,Jason Behrendorff,AUS,417,439,England,11/07/2019
77,Rubel Hossain,BAN,415,514,Pakistan,01/12/2011
78,Gulbadin Naib,AFG,412,472,Ireland,21/05/2019
79,George Dockrell,IRE,411,589,West Indies,16/02/2015
80,Thisara Perera,SL,409,610,India,24/07/2012
81,Mitchell Marsh,AUS,401,511,New Zealand,04/12/2016
82,Ashley Nurse,WI,400,568,India,27/10/2018
83,Taijul Islam,BAN,397,397,Zimbabwe,06/03/2020
84,Hamid Hassan,AFG,393,478,England,13/03/2015
85,Dhananjaya de Silva,SL,392,401,Bangladesh,28/07/2019
86,Jimmy Neesham,NZ,391,422,England,03/07/2019
87,Tom Curran,ENG,387,404,Pakistan,17/05/2019
88,Blessing Muzarabani,ZIM,387,387,Pakistan,03/11/2020
89,Craig Young,IRE,376,376,England,04/08/2020
90,Donald Tiripano,ZIM,373,373,Pakistan,03/11/2020
91,Bradley Wheal,SCO,372,385,Sri Lanka,21/05/2019
92,Oshane Thomas,WI,371,419,Australia,06/06/2019
93,Simi Simi Singh,IRE,371,388,West Indies,12/01/2020
94,Wanindu De Silva,SL,370,370,West Indies,01/03/2020
95,Marcus Stoinis,AUS,370,426,England,25/06/2019
96,Alasdair Evans,SCO,366,421,England,10/06/2018
97,Carlos Brathwaite,WI,364,446,Australia,06/06/2019
98,Roston Chase,WI,363,362,Sri Lanka,01/03/2020
99,Assad Vala,PNG,363,369,Namibia,23/09/2019
100,Michael Leask,SCO,355,362,Papua New Guinea,17/08/2019
